model,acc,low,high,_low
EfficientNet-B0,67.08860759493672,59.7616269318974,74.41558825797604,efficientnet
CNN,72.78481012658227,65.8449041129795,79.72471614018502,cnn
Swin,76.58227848101265,69.97893348110968,83.18562348091564,swin
ViT,78.48101265822784,72.0730386423934,84.8889866740623,vit
GFT,86.07594936708861,80.67772121773284,91.47417751644439,gft
H-CoAtNet,88.60759493670885,83.54430379746836,93.0379746835443,hcoatnet
CoAtNet,90.50632911392405,85.93561467355958,95.07704355428854,coatnet
