epoch,hcoatnet_train_acc,hcoatnet_val_acc,hcoatnet_train_loss,hcoatnet_val_loss,coatnet_train_acc,coatnet_val_acc,coatnet_train_loss,coatnet_val_loss,swin_train_acc,swin_val_acc,swin_train_loss,swin_val_loss,gft_train_acc,gft_val_acc,gft_train_loss,gft_val_loss,vit_train_acc,vit_val_acc,vit_train_loss,vit_val_loss,cnn_train_acc,cnn_val_acc,cnn_train_loss,cnn_val_loss,efficientnet_train_acc,efficientnet_val_acc,efficientnet_train_loss,efficientnet_val_loss
21,0.9945,0.8766,0.455,0.7689,0.9982,0.8961,0.0022,0.9509,0.9536,0.7857,0.1429,0.9316,0.8805,0.7662,0.3422,0.7389,0.7709,0.6688,0.5895,0.9197,0.7332,0.6883,0.7516,0.7727,0.576,0.6558,1.0717,0.9754
22,0.995,0.9091,0.4527,0.7488,0.9995,0.8896,0.0019,0.9415,0.9499,0.7273,0.1446,1.0384,0.8993,0.7857,0.3176,0.7718,0.7842,0.6818,0.5786,0.8483,0.7413,0.7143,0.7326,0.7413,0.5783,0.6558,1.056,0.9926
23,0.9918,0.8766,0.4577,0.7808,0.9991,0.8831,0.0023,0.9356,0.9627,0.7468,0.1113,1.0489,0.9061,0.7792,0.2808,0.7747,0.7782,0.6364,0.5687,0.9353,0.7436,0.7208,0.7301,0.7239,0.5997,0.6623,1.013,0.9862
24,0.9932,0.9026,0.4547,0.7306,0.9986,0.8961,0.002,0.9461,0.9727,0.7468,0.0935,1.0865,0.9176,0.7857,0.2664,0.7348,0.7969,0.6818,0.5349,0.8975,0.7409,0.7273,0.7306,0.736,0.5938,0.6883,1.0274,0.9691
25,0.9932,0.9026,0.4547,0.7485,0.9986,0.8896,0.0022,0.9663,0.9699,0.7532,0.0955,1.062,0.9272,0.8052,0.2189,0.7172,0.7996,0.6688,0.5269,0.9134,0.7523,0.7013,0.7173,0.714,0.602,0.7013,1.016,1.0063
26,0.9954,0.9026,0.4492,0.7571,1.0,0.8896,0.0016,0.9639,0.9845,0.7597,0.0668,1.0763,0.9313,0.7532,0.2127,0.7711,0.8065,0.6494,0.5167,0.9432,0.7596,0.7143,0.7023,0.7218,0.5993,0.6948,1.0042,0.9761
27,0.9941,0.9026,0.4542,0.7487,0.9986,0.8896,0.0019,0.9672,0.98,0.7727,0.0636,1.0712,0.9194,0.7792,0.2289,0.7463,0.8005,0.6818,0.514,0.8993,0.76,0.7078,0.6957,0.7186,0.6011,0.6948,1.011,0.9882
28,0.9941,0.9026,0.4504,0.7532,0.9995,0.8896,0.0017,0.9705,0.9882,0.7727,0.0613,1.0763,0.9277,0.7727,0.2155,0.731,0.8119,0.6753,0.5004,0.9065,0.7646,0.7338,0.7017,0.7145,0.6102,0.6883,0.9785,0.9527
29,0.9959,0.8961,0.4486,0.7517,1.0,0.8896,0.0016,0.9691,0.9795,0.7662,0.0691,1.0736,0.9368,0.7662,0.1977,0.7321,0.8001,0.6753,0.5114,0.9009,0.7605,0.7078,0.6941,0.7108,0.6084,0.7078,0.9946,0.9756
30,0.9964,0.8961,0.4479,0.7514,0.9991,0.8896,0.0017,0.969,0.9859,0.7727,0.0582,1.0753,0.9354,0.7662,0.2044,0.7296,0.8065,0.6753,0.4924,0.9011,0.765,0.6948,0.6924,0.7166,0.628,0.7078,0.9528,0.9919
