variant,Model,Acc,BalAcc,MacroF1,Kappa,MCC,ECE,AUROC,ParamsM,MACsG,Drop_pp
cnnOnly,A0 CNN only,0.90510000000000,0.86150000000000,0.85670000000000,0.87570000000000,0.87810000000000,0.09270000000000,0.97930000000000,27.823973,4.454770176,-0.6329113924050631
vitOnly,"A1 +ViT, no SE",0.89240000000000,0.84020000000000,0.84550000000000,0.85920000000000,0.85940000000000,0.08190000000000,0.95030000000000,28.863077,5.1484032,0.6329113924050631
seNoPrune,"A2 +SE, no pruning",0.89870000000000,0.85520000000000,0.85380000000000,0.86730000000000,0.86880000000000,0.09690000000000,0.96910000000000,28.937621,5.148476928,0.0
randomPrune,A3 Fixed-random 49->24,0.88610000000000,0.83070000000000,0.83140000000000,0.85050000000000,0.85200000000000,0.09400000000000,0.95570000000000,28.937621,5.148476928,1.2658227848101404
directL2,A4 One-shot SE 49->24,0.88610000000000,0.84180000000000,0.83570000000000,0.85090000000000,0.85240000000000,0.11800000000000,0.96230000000000,28.937621,5.148476928,1.2658227848101404
hierarchical,A5 Full H-CoAtNet,0.89870000000000,0.85520000000000,0.85390000000000,0.86720000000000,0.86890000000000,0.08030000000000,0.93870000000000,29.012165,5.148550656,0.0
hierarchicalRaw,A6 Hierar. raw-token scoring,0.89240000000000,0.83980000000000,0.84410000000000,0.85850000000000,0.86060000000000,0.11800000000000,0.94620000000000,28.863077,5.1484032,0.6329113924050631
noViT,A7 Full H-CoAtNet w/o ViT,0.89240000000000,0.84890000000000,0.84330000000000,0.85920000000000,0.86190000000000,0.10800000000000,0.96130000000000,27.973061,4.454917632,0.6329113924050631
